# experiment_type: time_limit
# K: 3
# T: 10
# num_bays: 11
# time_limits: [1000, 1500, 2000, 2500]
# mip_gap: None
# seeds: [1, 2, 3, 4, 5]
experiment_type,K,T,num_bays,seed,time_limit,status,objective,makespan,gap_percent,runtime,best_bound,node_count,sol_count
time_limit,3,10,11,1,1000,TIME_LIMIT,37156.74764443264,361.0398983656328,68.95615279814974,1000.0009999275208,11534.883963914759,277877.0,10
time_limit,3,10,11,1,1500,TIME_LIMIT,37156.74764443264,361.0398983656328,64.77468129131829,1500.0,13088.582779531978,424842.0,10
time_limit,3,10,11,1,2000,TIME_LIMIT,37156.74764443264,361.0398983656328,63.40013355001874,2000.0009999275208,13599.320015018908,502371.0,10
time_limit,3,10,11,1,2500,TIME_LIMIT,37156.74764443264,361.0398983656328,60.84702280250253,2500.0,14547.97293255639,693052.0,10
time_limit,3,10,11,2,1000,TIME_LIMIT,37531.27170604026,365.1084187261954,66.38583246547019,1000.0,12615.824549107956,850507.0,10
time_limit,3,10,11,2,1500,TIME_LIMIT,37531.27170604026,365.1084187261954,59.234574208724524,1500.0,15299.782715847809,1338432.0,10
time_limit,3,10,11,2,2000,TIME_LIMIT,37531.27170604026,365.1084187261954,57.54624125847874,2000.0,15933.435542707164,1783484.0,10
time_limit,3,10,11,2,2500,TIME_LIMIT,37531.27170604026,365.1084187261954,54.23641676929177,2500.0,17175.65476473698,2291867.0,10
time_limit,3,10,11,3,1000,TIME_LIMIT,32072.32440054044,311.8126577816271,63.50433939322364,1000.0069999694824,11705.00666192556,465252.0,10
time_limit,3,10,11,3,1500,TIME_LIMIT,32072.32440054044,311.8126577816271,57.74826937346983,1500.0099999904633,13551.112111383256,673449.0,10
time_limit,3,10,11,3,2000,TIME_LIMIT,32072.32440054044,311.8126577816271,53.44131993702924,2000.0,14932.450906405727,882228.0,10
time_limit,3,10,11,3,2500,TIME_LIMIT,32072.32440054044,311.8126577816271,52.092411840121336,2500.00200009346,15365.077087111187,1083131.0,10
time_limit,3,10,11,4,1000,TIME_LIMIT,32476.620119066552,315.84830772420685,77.59782833537629,1000.0120000839233,7275.46818994101,977260.0,10
time_limit,3,10,11,4,1500,TIME_LIMIT,32476.620119066552,315.84830772420685,77.29453190522287,1500.0119998455048,7373.968619396626,1504774.0,10
time_limit,3,10,11,4,2000,TIME_LIMIT,32476.620119066552,315.84830772420685,75.65859802021045,2000.0060000419617,7905.2646526311955,2006718.0,10
time_limit,3,10,11,4,2500,TIME_LIMIT,32476.620119066552,315.84830772420685,71.72529045287625,2500.013999938965,9182.670009388825,2480489.0,10
time_limit,3,10,11,5,1000,TIME_LIMIT,37977.81661593793,368.84250086906565,67.0397546552067,1000.0130000114441,12517.581533208815,879735.0,10
time_limit,3,10,11,5,1500,TIME_LIMIT,37977.81661593793,368.84250086906565,64.69896294650607,1500.0079998970032,13406.56311570022,1304504.0,10
time_limit,3,10,11,5,2000,TIME_LIMIT,37977.81661593793,368.84250086906565,60.05374662745574,2000.0019998550415,15170.714850762777,1718656.0,10
time_limit,3,10,11,5,2500,TIME_LIMIT,37948.51887144135,368.8425008690658,59.09853240523814,2500.0090000629425,15521.501148894677,2124678.0,10
