instance_id,config_id,num_tasks,num_qcs,num_bays,seed,milp_status,milp_objective,milp_best_bound,milp_gap,milp_runtime,milp_node_count,milp_sol_count,heuristic_objective,heuristic_runtime,heuristic_iterations,heuristic_feasible,is_optimal_match,gap_to_optimal_percent
0,T4_K2,4,2,4,42,OPTIMAL,25267.3760,25267.3760,0.0000,0.0753,95.0,6,25328.5937,0.5183,5001,True,False,0.2423
1,T4_K2,4,2,4,43,OPTIMAL,31602.1795,31602.1795,0.0000,0.0800,160.0,5,31602.1795,0.3856,5002,True,True,0.0000
2,T4_K2,4,2,4,44,OPTIMAL,11626.2658,11626.2658,0.0000,0.0409,27.0,2,11626.2658,0.5170,5001,True,True,0.0000
3,T4_K2,4,2,4,45,OPTIMAL,10228.8263,10228.8263,0.0000,0.0587,34.0,4,10228.8263,0.5402,5000,True,True,0.0000
4,T4_K2,4,2,4,46,OPTIMAL,19429.8234,19429.8234,0.0000,0.0635,126.0,4,20072.1144,0.3409,5009,True,False,3.3057
5,T4_K2,4,2,4,47,OPTIMAL,21101.3790,21101.3790,0.0000,0.0769,116.0,3,31478.1134,0.3421,5001,True,False,49.1756
6,T4_K2,4,2,4,48,OPTIMAL,27908.8704,27908.8704,0.0000,0.0554,136.0,2,27908.8704,0.4098,5001,True,True,0.0000
7,T4_K2,4,2,4,49,OPTIMAL,16153.5276,16153.5276,0.0000,0.0496,91.0,5,16249.3971,0.2978,5001,True,False,0.5935
8,T4_K2,4,2,4,50,OPTIMAL,27674.8021,27674.8021,0.0000,0.0579,111.0,3,27674.8021,0.3936,5008,True,True,0.0000
9,T4_K2,4,2,4,51,OPTIMAL,37153.9533,37153.9533,0.0000,0.0881,172.0,5,37153.9533,0.3089,5001,True,True,0.0000
10,T4_K2,4,2,4,52,OPTIMAL,23476.6048,23476.6048,0.0000,0.0646,118.0,9,23476.6048,0.4057,5001,True,True,0.0000
11,T4_K2,4,2,4,53,OPTIMAL,30917.9728,30917.9728,0.0000,0.0610,104.0,4,30917.9728,0.3808,5000,True,True,0.0000
12,T4_K2,4,2,4,54,OPTIMAL,22529.6015,22529.6015,0.0000,0.0611,104.0,3,22529.6015,0.3463,5002,True,True,0.0000
13,T4_K2,4,2,4,55,OPTIMAL,24075.5266,24075.5266,0.0000,0.0658,100.0,5,24075.5266,0.4089,5008,True,True,0.0000
14,T4_K2,4,2,4,56,OPTIMAL,27332.6612,27332.6612,0.0000,0.0482,49.0,2,27332.6612,0.4745,5000,True,True,0.0000
15,T4_K2,4,2,4,57,OPTIMAL,25269.8007,25269.8007,0.0000,0.0573,110.0,4,29545.7519,0.3254,5002,True,False,16.9212
16,T4_K2,4,2,4,58,OPTIMAL,22505.3599,22505.3599,0.0000,0.0644,108.0,4,22505.3599,0.5023,5001,True,True,0.0000
17,T4_K2,4,2,4,59,OPTIMAL,19023.3113,19023.3113,0.0000,0.0698,101.0,3,19023.3113,0.3884,5001,True,True,0.0000
18,T4_K2,4,2,4,60,OPTIMAL,32005.3590,32005.3590,0.0000,0.0499,62.0,4,32005.3590,0.5605,5001,True,True,0.0000
19,T4_K2,4,2,4,61,OPTIMAL,24067.0623,24067.0623,0.0000,0.0736,137.0,8,24067.0623,0.3867,5001,True,True,0.0000
20,T4_K3,4,3,4,62,OPTIMAL,37731.0517,37731.0517,0.0000,0.0733,126.0,4,37641.0230,0.7924,5001,True,False,0.2386
21,T4_K3,4,3,4,63,OPTIMAL,17475.8587,17475.8587,0.0000,0.0688,69.0,4,17475.8587,0.6720,5000,True,True,0.0000
22,T4_K3,4,3,4,64,OPTIMAL,23008.3416,23008.3416,0.0000,0.0671,75.0,6,22977.2430,0.4823,5003,True,False,0.1352
23,T4_K3,4,3,4,65,OPTIMAL,25510.4013,25510.4013,0.0000,0.0729,119.0,4,25510.4013,0.5313,5002,True,True,0.0000
24,T4_K3,4,3,4,66,OPTIMAL,28165.0022,28165.0022,0.0000,0.0657,76.0,9,28114.6747,0.5087,5001,True,False,0.1787
25,T4_K3,4,3,4,67,OPTIMAL,22871.4795,22869.4795,0.0001,0.0397,1.0,3,22871.4795,0.5649,5002,True,True,0.0000
26,T4_K3,4,3,4,68,OPTIMAL,30719.9870,30719.9870,0.0000,0.0833,122.0,7,30690.5418,0.5500,5002,True,False,0.0959
