config_id,num_tasks,num_qcs,num_instances,optimal_match_count,optimal_match_rate_percent,mean_gap_to_optimal_percent,std_gap_to_optimal_percent,mean_milp_runtime,mean_heuristic_runtime
T4_K2,4,2,20,15,75.0,14.05,18.60,0.06,0.41
T4_K3,4,3,20,5,25.0,0.18,0.10,0.07,0.59
T5_K2,5,2,20,14,70.0,2.97,3.38,0.18,0.71
T5_K3,5,3,20,8,40.0,0.21,0.17,0.23,1.02
T6_K2,6,2,20,9,45.0,10.55,10.21,0.89,1.19
T6_K3,6,3,20,10,50.0,5.82,8.64,1.39,1.53
T7_K2,7,2,20,10,50.0,4.89,5.66,4.60,1.85
T7_K3,7,3,20,7,35.0,4.56,10.09,7.97,2.36
T8_K2,8,2,20,6,30.0,3.23,2.86,44.44,2.76
T8_K3,8,3,20,9,45.0,11.12,13.62,89.56,3.54
