instance_id,config_id,num_tasks,num_qcs,num_bays,seed,milp_status,milp_final_obj,milp_best_bound,milp_gap,milp_runtime,milp_node_count,milp_sol_count,heuristic_final_obj,heuristic_runtime,heuristic_iterations,heuristic_feasible,winner,gap_milp_heur_percent,milp_obj_at_1s,heur_obj_at_1s,milp_obj_at_5s,heur_obj_at_5s,milp_obj_at_10s,heur_obj_at_10s,milp_obj_at_30s,heur_obj_at_30s,milp_obj_at_60s,heur_obj_at_60s,milp_obj_at_120s,heur_obj_at_120s,milp_obj_at_300s,heur_obj_at_300s,milp_obj_at_600s,heur_obj_at_600s,milp_obj_at_1000s,heur_obj_at_1000s,milp_obj_at_1400s,heur_obj_at_1400s,milp_obj_at_1800s,heur_obj_at_1800s
0,T20_K2,20,2,20,1000,TIME_LIMIT,88608.1464,3681.7413,0.9584,1800.2496,339208.0,10,87800.1464,88.7455,5009,True,HEURISTIC,-0.9203,105453.4286,87800.1464,90195.0419,87800.1464,89991.0419,87800.1464,89991.0419,87800.1464,89991.0419,87800.1464,89955.9254,87800.1464,89477.1013,87800.1464,89073.1013,87800.1464,89073.1013,87800.1464,89073.1013,87800.1464,88608.1464,87800.1464
1,T20_K2,20,2,20,1001,TIME_LIMIT,122119.6720,3323.2746,0.9728,1800.2797,441204.0,10,123103.0731,98.7678,5007,True,MILP,0.7988,N/A,123103.0731,193561.2919,123103.0731,164287.5144,123103.0731,126034.3808,123103.0731,122686.6626,123103.0731,122123.6720,123103.0731,122121.6720,123103.0731,122119.6720,123103.0731,122119.6720,123103.0731,122119.6720,123103.0731,122119.6720,123103.0731
7,T20_K2,20,2,20,1007,TIME_LIMIT,84976.2488,1190.2355,0.9860,1800.2999,505533.0,10,83439.3224,129.0901,5017,True,HEURISTIC,-1.8420,129936.2124,83439.3224,104057.7209,83439.3224,92024.3875,83439.3224,87137.0866,83439.3224,85384.2489,83439.3224,85180.2489,83439.3224,84976.2488,83439.3224,84976.2488,83439.3224,84976.2488,83439.3224,84976.2488,83439.3224,84976.2488,83439.3224
2,T20_K2,20,2,20,1002,TIME_LIMIT,86837.7642,2657.5961,0.9694,1800.2776,312271.0,10,89766.6303,135.4038,5009,True,MILP,3.2628,N/A,89766.6303,163611.9203,89766.6303,161793.9203,89766.6303,133100.5529,89766.6303,131068.9313,89766.6303,100604.8725,89766.6303,88049.7642,89766.6303,86837.7642,89766.6303,86837.7642,89766.6303,86837.7642,89766.6303,86837.7642,89766.6303
3,T20_K2,20,2,20,1003,TIME_LIMIT,91550.6007,3218.2167,0.9648,1800.2575,283948.0,10,91550.6007,136.4863,5022,True,MILP,0.0000,N/A,91550.6007,133232.9759,91550.6007,124438.0985,91550.6007,98506.3252,91550.6007,94075.0763,91550.6007,93671.0763,91550.6007,92567.7680,91550.6007,92156.6007,91550.6007,91550.6007,91550.6007,91550.6007,91550.6007,91550.6007,91550.6007
4,T20_K2,20,2,20,1004,TIME_LIMIT,88422.3272,2699.0027,0.9695,1800.3349,397444.0,10,93531.5466,137.0140,5012,True,MILP,5.4626,N/A,93531.5466,106302.9744,93531.5466,106242.5142,93531.5466,92394.7434,93531.5466,90582.3132,93531.5466,89972.3132,93531.5466,89568.3132,93531.5466,88927.9880,93531.5466,88432.3272,93531.5466,88422.3272,93531.5466,88422.3272,93531.5466
5,T20_K2,20,2,20,1005,TIME_LIMIT,113534.5287,5901.9448,0.9480,1800.3281,326519.0,10,114067.7067,138.2447,5009,True,MILP,0.4674,N/A,114067.7067,152985.9573,114067.7067,137345.2140,114067.7067,130145.3391,114067.7067,119514.1769,114067.7067,117724.4744,114067.7067,117702.4744,114067.7067,113536.5287,114067.7067,113534.5287,114067.7067,113534.5287,114067.7067,113534.5287,114067.7067
9,T20_K2,20,2,20,1009,TIME_LIMIT,87040.7993,1592.5240,0.9817,1800.2051,275014.0,10,90123.6171,153.6483,5031,True,MILP,3.4207,N/A,90123.6171,127435.2621,90123.6171,124967.8462,90123.6171,115100.8218,90123.6171,91463.0910,90123.6171,88155.4348,90123.6171,88060.7993,90123.6171,87242.7993,90123.6171,87040.7993,90123.6171,87040.7993,90123.6171,87040.7993,90123.6171
6,T20_K2,20,2,20,1006,TIME_LIMIT,93612.3862,1544.6397,0.9835,1800.2904,359343.0,10,95664.8346,172.8210,5007,True,MILP,2.1455,192550.0302,95664.8346,149327.9132,95664.8346,131539.6177,95664.8346,121546.6291,95664.8346,107979.4772,95664.8346,98140.8378,95664.8346,95173.4879,95664.8346,95173.4879,95664.8346,95157.4879,95664.8346,95153.4879,95664.8346,93612.3862,95664.8346
8,T20_K2,20,2,20,1008,TIME_LIMIT,97590.6722,3752.6389,0.9615,1800.2745,360156.0,10,97490.9858,194.8200,5005,True,HEURISTIC,-0.1023,N/A,97490.9858,128674.8242,97490.9858,125063.7587,97490.9858,116202.3869,97490.9858,100646.3622,97490.9858,100646.3622,97490.9858,100212.4681,97490.9858,97996.6722,97490.9858,97590.6722,97490.9858,97590.6722,97490.9858,97590.6722,97490.9858
