config_id,num_tasks,num_qcs,num_instances,milp_wins,heuristic_wins,ties,mean_milp_runtime,mean_heuristic_runtime,mean_gap_percent,median_gap_percent
T20_K2,20,2,5,4,1,0,1000.14,78.26,1.61,0.80
T20_K3,20,3,5,4,1,0,1000.16,102.51,6.59,4.85
T25_K2,25,2,5,2,3,0,1000.15,213.89,0.01,-0.56
T25_K3,25,3,5,3,2,0,1000.17,210.06,4.37,2.43
T30_K2,30,2,5,1,4,0,1000.21,574.00,-3.81,-3.11
T30_K3,30,3,5,2,3,0,1000.27,506.84,-8.70,-12.10
T35_K2,35,2,5,0,5,0,1000.19,767.87,-2.67,-2.05
T35_K3,35,3,5,1,4,0,1000.28,763.11,-24.74,-27.68
T40_K2,40,2,5,0,5,0,1000.26,1000.14,-33.29,-45.01
T40_K3,40,3,5,0,5,0,1000.44,1000.10,-43.13,-27.62
