config_id,num_tasks,num_qcs,num_instances,milp_wins,heuristic_wins,ties,mean_milp_runtime,mean_heuristic_runtime,mean_gap_percent,median_gap_percent,mean_milp_time_to_best,mean_heuristic_time_to_best
T20_K2,20,2,10,7,3,0,1800.28,138.50,1.27,0.63,842.20,0.35
T20_K3,20,3,10,3,7,0,1800.29,162.99,0.08,-1.18,1215.70,0.38
T25_K2,25,2,10,3,7,0,1800.27,338.09,-2.30,-0.55,1269.30,0.93
T25_K3,25,3,10,5,5,0,1800.34,333.33,2.35,-0.18,1503.60,1.43
T30_K2,30,2,10,2,8,0,1800.33,687.05,-4.77,-1.96,1574.00,3.06
T30_K3,30,3,10,3,7,0,1800.45,669.85,-6.42,-3.36,1640.00,2.20
T35_K2,35,2,10,1,9,0,1800.40,1256.54,-7.41,-4.00,1561.40,5.92
T35_K3,35,3,10,1,9,0,1800.62,1179.48,-22.97,-11.25,1607.80,4.43
T40_K2,40,2,10,0,10,0,1800.53,1800.19,-28.06,-20.27,1556.40,12.08
T40_K3,40,3,10,0,10,0,1801.29,1800.21,-70.17,-59.25,1641.22,12.08
